# Last modified: 23-03-2017@22:10:04
# LRG	HGNC_SYMBOL	REFSEQ_GENOMIC	LRG_TRANSCRIPT	REFSEQ_TRANSCRIPT	ENSEMBL_TRANSCRIPT	CCDS
LRG_288	KCNH2	NG_008916.1	t2	NM_172056.2	-	-
LRG_288	KCNH2	NG_008916.1	t3	NM_172057.2	-	CCDS5911.1
LRG_289	SCN5A	NG_008934.1	t1	NM_198056.2	-	CCDS46796.1
LRG_289	SCN5A	NG_008934.1	t2	NM_000335.4	-	CCDS46797.1
LRG_289	SCN5A	NG_008934.1	t3	NM_001099404.1	ENST00000413689.5	CCDS46799.1
LRG_290	KCNE1	NG_009091.1	t1	NM_000219.3	-	CCDS13636.1
LRG_290	KCNE1	NG_009091.1	t2	NM_001127670.1	-	CCDS13636.1
LRG_291	KCNE2	NG_008804.1	t1	NM_172201.1	-	CCDS13635.1
LRG_292	BRCA1	NG_005905.2	t1	NM_007294.3	-	CCDS11453.1
LRG_293	BRCA2	NG_012772.3	t1	NM_000059.3	-	CCDS9344.1
LRG_294	IRF8	NG_029333.1	t1	NM_002163.2	-	CCDS10956.1
LRG_295	GATA2	NG_029334.1	t1	NM_001145661.1	-	CCDS3049.1
LRG_295	GATA2	NG_029334.1	t2	NM_032638.4	-	CCDS3049.1
LRG_296	AXIN2	NG_012142.1	t1	NM_004655.3	-	CCDS11662.1
LRG_298	BMPR1A	NG_009362.1	t1	NM_004329.2	-	CCDS7378.1
LRG_299	BRAF	NG_007873.3	t1	NM_004333.4	-	CCDS5863.1
LRG_300	BRIP1	NG_007409.2	t1	NM_032043.2	-	CCDS11631.1
LRG_301	CDH1	NG_008021.1	t1	NM_004360.3	-	CCDS10869.1
LRG_302	CHEK2	NG_008150.1	t1	NM_007194.3	-	CCDS13843.1
LRG_303	CYP2D6	NG_008376.3	t1	NM_000106.5	-	CCDS46721.1
LRG_304	EGFR	NG_007726.3	t1	NM_005228.3	-	CCDS5514.1
LRG_306	FANCD2	NG_007311.1	t1	NM_001018115.1	ENST00000383807.5	CCDS33696.1
LRG_306	FANCD2	NG_007311.1	t2	NM_033084.3	-	CCDS2595.1
LRG_307	KIT	NG_007456.1	t1	NM_000222.2	-	CCDS3496.1
LRG_308	PALB2	NG_007406.1	t1	NM_024675.3	-	CCDS32406.1
LRG_309	PDGFRA	NG_009250.1	t1	NM_006206.4	-	CCDS3495.1
LRG_310	PIK3CA	NG_012113.2	t1	NM_006218.2	-	CCDS43171.1
LRG_311	PTEN	NG_007466.2	t1	NM_000314.4	-	CCDS31238.1
LRG_314	RAD51C	NG_023199.1	t1	NM_058216.1	-	CCDS11611.1
LRG_315	SDHA	NG_012339.1	t1	NM_004168.3	-	CCDS3853.1
LRG_316	SDHB	NG_012340.1	t1	NM_003000.2	ENST00000375499.7	CCDS176.1
LRG_317	SDHC	NG_012767.1	t1	NM_003001.3	-	CCDS1230.1
LRG_318	SMAD4	NG_013013.2	t1	NM_005359.5	-	CCDS11950.1
LRG_319	STK11	NG_007460.2	t1	NM_000455.4	-	CCDS45896.1
LRG_321	TP53	NG_017013.2	t1	NM_000546.5	-	CCDS11118.1
LRG_321	TP53	NG_017013.2	t2	NM_001126112.2	-	CCDS11118.1
LRG_321	TP53	NG_017013.2	t3	NM_001126114.2	ENST00000617185.4	CCDS45606.1
LRG_321	TP53	NG_017013.2	t4	NM_001126113.2	-	CCDS45605.1
LRG_321	TP53	NG_017013.2	t5	NM_001126115.1	ENST00000619186.4	CCDS73966.1
LRG_321	TP53	NG_017013.2	t6	NM_001126116.1	ENST00000618944.4	CCDS73968.1
LRG_321	TP53	NG_017013.2	t7	NM_001126117.1	ENST00000610623.4	CCDS73967.1
LRG_321	TP53	NG_017013.2	t8	NM_001126118.1	-	CCDS73969.1
LRG_322	VHL	NG_008212.3	t1	NM_000551.3	-	CCDS2597.1
LRG_325	FLCN	NG_008001.2	t1	NM_144997.5	-	CCDS32579.1
LRG_326	ZBTB24	NG_029388.1	t1	NM_014797.2	-	CCDS34509.1
LRG_327	ANK2	NG_009006.2	t1	NM_001148.4	-	CCDS3702.1
LRG_327	ANK2	NG_009006.2	t2	NM_001127493.1	-	CCDS54796.1
LRG_328	KCNJ2	NG_008798.1	t1	NM_000891.2	-	CCDS11688.1
LRG_329	CAV3	NG_008797.2	t1	NM_033337.2	ENST00000343849.2	CCDS2569.1
LRG_330	SCN4B	NG_011710.1	t1	NM_174934.3	-	CCDS8389.1
LRG_331	AKAP9	NG_011623.1	t1	NM_005751.4	-	CCDS5622.1
LRG_332	SNTA1	NG_011622.1	t1	NM_003098.2	-	CCDS13220.1
LRG_333	KCNJ5	NG_023406.2	t1	NM_000890.3	-	CCDS8479.1
LRG_334	CACNA1C	NG_008801.2	t1	NM_000719.6	-	CCDS44794.1
LRG_334	CACNA1C	NG_008801.2	t2	NM_001129827.1	-	CCDS44788.1
LRG_334	CACNA1C	NG_008801.2	t3	NM_001129830.1	-	CCDS53736.1
LRG_334	CACNA1C	NG_008801.2	t4	NM_001129840.1	-	CCDS44787.1
LRG_335	ELF4	NG_016388.1	t1	NM_001421.3	-	CCDS14617.1
LRG_336	CPS1	NG_008285.1	t1	NM_001875.4	-	CCDS2393.1
LRG_337	OPA1	NG_011605.1	t1	NM_015560.2	-	CCDS43186.1
LRG_337	OPA1	NG_011605.1	t2	NM_130837.2	-	-
LRG_338	LCT	NG_008104.2	t1	NM_002299.2	-	CCDS2178.1
LRG_339	FXN	NG_008845.2	t1	NM_000144.4	-	CCDS6626.1
LRG_340	DHCR7	NG_012655.2	t1	NM_001360.2	-	CCDS8200.1
LRG_341	UNC119	NG_012302.1	t1	NM_005148.3	-	CCDS11233.1
LRG_341	UNC119	NG_012302.1	t2	NM_054035.2	-	CCDS11234.1
LRG_343	TERT	NG_009265.1	t1	NM_198253.2	ENST00000310581.9	CCDS3861.2
LRG_344	KRAS	NG_007524.1	t1	NM_033360.3	-	CCDS8703.1
LRG_344	KRAS	NG_007524.1	t2	NM_004985.4	-	CCDS8702.1
LRG_345	NOP10	NG_011562.1	t1	NM_018648.3	-	CCDS10037.1
LRG_346	NHP2	NG_011765.1	t1	NM_017838.3	-	CCDS4432.1
LRG_347	TERC	NG_016363.1	t1	NR_001566.1	-	-
LRG_348	CR2	NG_013006.1	t1	NM_001006658.2	-	CCDS31007.1
LRG_349	MASP1	NG_029440.1	t1	NM_001031849.2	-	CCDS33909.1
LRG_349	MASP1	NG_029440.1	t2	NM_001879.5	-	CCDS33907.1
LRG_349	MASP1	NG_029440.1	t3	NM_139125.3	-	CCDS33908.1
LRG_350	COLEC11	NG_031954.1	t1	NM_024027.4	-	CCDS1649.1
LRG_351	VPS13B	NG_007098.2	t1	NM_017890.4	-	CCDS6280.1
LRG_351	VPS13B	NG_007098.2	t2	NM_152564.4	-	CCDS6281.1
LRG_351	VPS13B	NG_007098.2	t3	NM_015243.2	ENST00000355155.5	CCDS6283.1
LRG_351	VPS13B	NG_007098.2	t4	NM_181661.2	-	CCDS47903.1
LRG_352	USB1	NG_027698.1	t1	NM_024598.3	-	CCDS10791.1
LRG_353	MAGT1	NG_016390.1	t1	NM_032121.5	-	CCDS14436.2
LRG_354	ITCH	NG_023206.1	t1	NM_031483.4	-	CCDS13234.1
LRG_355	IL17RA	NG_028257.1	t1	NM_014339.6	-	CCDS13739.1
LRG_356	IL17F	NG_031869.1	t1	NM_052872.3	-	CCDS4938.1
LRG_357	CD27	NG_031995.1	t1	NM_001242.4	-	CCDS8545.1
LRG_358	TICAM1	NG_031998.1	t1	NM_182919.3	-	CCDS12136.1
LRG_359	AARS	NG_023191.1	t1	NM_001605.2	-	CCDS32474.1
LRG_360	ATL1	NG_009028.1	t1	NM_015915.4	ENST00000358385.10	CCDS9700.1
LRG_360	ATL1	NG_009028.1	t2	NM_001127713.1	-	CCDS32077.1
LRG_361	CCT5	NG_012160.1	t1	NM_012073.3	-	CCDS3877.1
LRG_362	DNMT1	NG_028016.3	t1	NM_001130823.1	-	CCDS45958.1
LRG_363	RETREG1	NG_016644.2	t1	NM_001034850.2	-	CCDS43304.1
LRG_364	FBLN5	NG_008254.1	t1	NM_006329.3	-	CCDS9898.1
LRG_365	HK1	NG_012077.1	t1	NM_033500.2	-	CCDS7290.1
LRG_366	KARS	NG_028025.1	t1	NM_001130089.1	-	CCDS45532.1
LRG_367	KIF1A	NG_029724.1	t1	NM_001244008.1	ENST00000498729.6	CCDS58757.1
LRG_367	KIF1A	NG_029724.1	t2	NM_004321.7	-	CCDS46561.1
LRG_368	MED25	NG_017091.1	t1	NM_030973.3	-	CCDS33075.1
LRG_369	SCN9A	NG_012798.1	t1	NM_002977.3	-	CCDS46441.1
LRG_370	SEPT9	NG_011683.1	t1	NM_006640.4	-	CCDS45791.1
LRG_371	SPTLC2	NG_028282.1	t1	NM_004863.3	-	CCDS9865.1
LRG_372	TRPV4	NG_017090.1	t1	NM_021625.4	-	CCDS9134.1
LRG_373	LRSAM1	NG_032008.1	t1	NM_138361.5	-	CCDS6873.1
LRG_374	WIPF1	NG_032009.1	t1	NM_001077269.1	-	CCDS2260.1
LRG_375	WRAP53	NG_028245.1	t1	NM_018081.2	-	CCDS11119.1
LRG_376	PLCG2	NG_032019.2	t1	NM_002661.3	-	CCDS42204.1
LRG_377	ABCC9	NG_012819.1	t1	NM_020297.2	-	CCDS8693.1
LRG_377	ABCC9	NG_012819.1	t2	NM_005691.2	-	CCDS8694.1
LRG_378	TNNC1	NG_008963.1	t1	NM_003280.2	-	CCDS2857.1
LRG_379	ANKRD1	NG_023227.1	t1	NM_014391.2	-	CCDS7412.1
LRG_380	DES	NG_008043.1	t1	NM_001927.3	ENST00000373960.3	CCDS33383.1
LRG_381	CACNB2	NG_016195.1	t1	NM_201596.2	-	CCDS7125.1
LRG_381	CACNB2	NG_016195.1	t2	NM_201590.2	-	CCDS41494.1
LRG_382	RBM20	NG_021177.1	t1	NM_001134363.1	-	CCDS44477.1
LRG_383	VCL	NG_008868.1	t1	NM_014000.2	-	CCDS7341.1
LRG_384	MYH7	NG_007884.1	t1	NM_000257.2	-	CCDS9601.1
LRG_385	LDB3	NG_008876.1	t1	NM_007078.2	-	CCDS7377.1
LRG_385	LDB3	NG_008876.1	t2	NM_001080116.1	-	CCDS41545.1
LRG_386	MYBPC3	NG_007667.1	t1	NM_000256.3	-	CCDS53621.1
LRG_387	TPM1	NG_007557.1	t1	NM_001018005.1	-	CCDS45273.1
LRG_388	ACTC1	NG_007553.1	t1	NM_005159.4	-	CCDS10041.1
LRG_389	MYH6	NG_023444.1	t1	NM_002471.3	ENST00000405093.7	CCDS9600.1
LRG_390	PLN	NG_009082.1	t1	NM_002667.3	-	CCDS5120.1
LRG_391	TTN	NG_011618.3	t1	NM_001267550.1	-	CCDS59435.1
LRG_391	TTN	NG_011618.3	t2	NM_133379.4	-	CCDS33337.1
LRG_392	MYLK2	NG_012847.1	t1	NM_033118.3	-	CCDS13191.1
LRG_393	MYL2	NG_007554.1	t1	NM_000432.3	-	CCDS31901.1
LRG_394	JPH2	NG_031867.1	t1	NM_020433.4	-	CCDS13325.1
LRG_395	MYL3	NG_007555.2	t1	NM_000258.2	-	CCDS2746.1
LRG_396	MYOZ2	NG_029747.1	t1	NM_016599.4	ENST00000307128.5	CCDS3711.1
LRG_397	DSG2	NG_007072.3	t1	NM_001943.3	-	CCDS42423.1
LRG_398	PKP2	NG_009000.1	t1	NM_004572.3	-	CCDS8731.1
LRG_399	TGFB3	NG_011715.1	t1	NM_003239.2	-	CCDS9846.1
LRG_400	DSC2	NG_008208.2	t1	NM_004949.3	-	CCDS11893.1
LRG_401	JUP	NG_009090.2	t1	NM_021991.2	-	CCDS11407.1
LRG_401	JUP	NG_009090.2	t2	NM_002230.2	-	CCDS11407.1
LRG_402	RYR2	NG_008799.2	t1	NM_001035.2	-	CCDS55691.1
LRG_403	BMP10	NG_032117.1	t1	NM_014482.1	ENST00000295379.1	CCDS1890.1
LRG_404	CASQ2	NG_008802.1	t1	NM_001232.3	-	CCDS884.1
LRG_405	CHRM2	NG_011846.2	t1	NM_000739.2	-	CCDS5843.1
LRG_405	CHRM2	NG_011846.2	t2	NM_001006630.1	-	CCDS5843.1
LRG_406	COX15	NG_008986.1	t1	NM_078470.4	-	CCDS7482.1
LRG_406	COX15	NG_008986.1	t2	NM_004376.5	-	CCDS7481.1
LRG_407	CRYAB	NG_009824.2	t1	NM_001885.2	-	CCDS8351.1
LRG_408	CTF1	NG_009171.1	t1	NM_001330.3	-	CCDS10694.1
LRG_409	LAMA2	NG_008678.1	t1	NM_000426.3	-	CCDS5138.1
LRG_410	MYPN	NG_032118.1	t1	NM_032578.3	-	CCDS7275.1
LRG_411	NEBL	NG_017092.1	t1	NM_213569.2	-	CCDS7133.1
LRG_411	NEBL	NG_017092.1	t2	NM_006393.2	ENST00000377122.8	CCDS7134.1
LRG_412	OBSCN	NG_032122.1	t1	NM_001271223.2	ENST00000570156.6	CCDS59204.1
LRG_413	RAF1	NG_007467.1	t1	NM_002880.3	-	CCDS2612.1
LRG_414	SRI	NG_032138.1	t1	NM_003130.3	-	CCDS5612.1
LRG_415	SYNM	NG_008210.2	t1	NM_145728.2	-	CCDS73787.1
LRG_416	TTR	NG_009490.1	t1	NM_000371.3	-	CCDS11899.1
LRG_417	TXNRD2	NG_011835.1	t1	NM_006440.3	-	CCDS42981.1
LRG_418	EYA4	NG_011596.1	t1	NM_004100.4	-	CCDS5165.1
LRG_419	GPD1L	NG_023375.1	t1	NM_015141.3	-	CCDS33729.1
LRG_420	SCN1B	NG_013359.1	t1	NM_001037.4	-	CCDS12441.1
LRG_421	SCN3B	NG_016283.1	t1	NM_018400.3	-	CCDS8442.1
LRG_422	CALR3	NG_031959.2	t1	NM_145046.4	ENST00000269881.7	CCDS12344.1
LRG_423	DSP	NG_008803.1	t1	NM_004415.2	-	CCDS4501.1
LRG_424	ADORA3	NG_032119.1	t1	NM_000677.3	-	CCDS839.1
LRG_425	FLT1	NG_012003.1	t1	NM_002019.4	-	CCDS9330.1
LRG_425	FLT1	NG_012003.1	t2	NM_001159920.1	-	CCDS73556.1
LRG_426	MYOM1	NG_032120.1	t1	NM_003803.3	ENST00000356443.8	CCDS45824.1
LRG_427	SYNE1	NG_012855.1	t1	NM_182961.3	ENST00000367255.9	CCDS5236.2
LRG_427	SYNE1	NG_012855.1	t2	NM_033071.3	-	CCDS5235.1
LRG_428	TP63	NG_007550.1	t1	NM_003722.4	ENST00000264731.7	CCDS3293.1
LRG_429	ACTA1	NG_006672.1	t1	NM_001100.3	-	CCDS1578.1
LRG_430	PRKAG2	NG_007486.1	t1	NM_016203.3	-	CCDS5928.1
LRG_431	TNNT2	NG_007556.1	t1	NM_000364.2	-	-
LRG_431	TNNT2	NG_007556.1	t2	NM_001001430.1	-	CCDS30969.1
LRG_432	TNNI3	NG_007866.2	t1	NM_000363.4	-	CCDS42628.1
LRG_433	LAMA4	NG_008209.1	t1	NM_001105208.1	-	CCDS43492.1
LRG_433	LAMA4	NG_008209.1	t2	NM_002290.3	-	CCDS34514.1
LRG_434	FKTN	NG_008754.1	t1	NM_001079802.1	-	CCDS6766.1
LRG_434	FKTN	NG_008754.1	t2	NM_006731.2	ENST00000223528.6	CCDS6766.1
LRG_435	TMEM43	NG_008975.1	t1	NM_024334.2	-	CCDS2618.1
LRG_436	ACTN2	NG_009081.1	t1	NM_001103.3	-	CCDS1613.1
LRG_437	CACNA2D1	NG_009358.2	t1	NM_000722.2	-	CCDS5598.1
LRG_438	MYO6	NG_009934.1	t1	NM_004999.3	-	CCDS34487.1
LRG_439	KCNE3	NG_011833.1	t1	NM_005472.4	-	CCDS8232.1
LRG_440	CSRP3	NG_011932.2	t1	NM_003476.3	-	CCDS7848.1
LRG_441	SLC25A4	NG_013001.1	t1	NM_001151.3	-	CCDS34114.1
LRG_442	NEXN	NG_016625.1	t1	NM_144573.3	-	CCDS41351.1
LRG_443	TMPO	NG_021393.1	t1	NM_001032283.2	-	CCDS31879.1
LRG_443	TMPO	NG_021393.1	t2	NM_003276.2	-	CCDS9064.1
LRG_444	ILK	NG_029702.1	t1	NM_004517.2	-	CCDS7768.1
LRG_445	KCND3	NG_032011.2	t1	NM_004980.4	-	CCDS843.1
LRG_446	TCF21	NG_032121.1	t1	NM_003206.3	-	CCDS5167.1
LRG_447	HMGCS2	NG_013348.1	t1	NM_005518.3	-	CCDS905.1
LRG_447	HMGCS2	NG_013348.1	t2	NM_001166107.1	-	CCDS53353.1
LRG_448	ACAD8	NG_015842.1	t1	NM_014384.2	-	CCDS8498.1
LRG_449	AUH	NG_008017.1	t1	NM_001698.2	-	CCDS6689.1
LRG_450	HSD17B10	NG_008153.1	t1	NM_004493.2	-	CCDS14354.1
LRG_450	HSD17B10	NG_008153.1	t2	NM_001037811.2	-	CCDS35300.1
LRG_451	ACADSB	NG_008003.1	t1	NM_001609.3	-	CCDS7634.1
LRG_452	FOXD4	NG_032165.1	t1	NM_207305.4	-	CCDS34975.1
LRG_453	PIK3R1	NG_012849.2	t1	NM_181523.2	-	CCDS3993.1
LRG_454	FKBP14	NG_032173.1	t1	NM_017946.3	-	CCDS5423.1
LRG_455	ROGDI	NG_032174.1	t1	NM_024589.2	-	CCDS10523.1
LRG_456	CEBPA	NG_012022.1	t1	NM_004364.3	-	CCDS54243.1
LRG_457	FLT3	NG_007066.1	t1	NM_004119.2	ENST00000241453.11	CCDS31953.1
LRG_458	NPM1	NG_016018.1	t1	NM_002520.6	-	CCDS4376.1
LRG_459	DNMT3A	NG_029465.2	t1	NM_022552.4	-	CCDS33157.1
LRG_459	DNMT3A	NG_029465.2	t2	NM_153759.3	-	CCDS1718.2
LRG_459	DNMT3A	NG_029465.2	t3	NM_175630.1	ENST00000406659.3	CCDS46232.1
LRG_459	DNMT3A	NG_029465.2	t4	NM_175629.2	-	CCDS33157.1
LRG_460	AIP	NG_008969.1	t1	NM_003977.2	-	CCDS8168.1
LRG_461	ERCC2	NG_007067.2	t1	NM_000400.3	-	CCDS33049.1
LRG_462	ERCC3	NG_007454.1	t1	NM_000122.1	ENST00000285398.6	CCDS2144.1
LRG_463	ERCC4	NG_011442.1	t1	NM_005236.2	-	CCDS32390.1
LRG_464	ERCC5	NG_007146.1	t1	NM_000123.3	-	CCDS32004.1
LRG_465	ERCC6	NG_009442.1	t1	NM_000124.2	-	CCDS7229.1
LRG_466	ERCC8	NG_009289.1	t1	NM_000082.3	-	CCDS3978.1
LRG_467	DDB2	NG_009365.1	t1	NM_000107.2	-	CCDS7927.1
LRG_468	MPLKIP	NG_016989.2	t1	NM_138701.3	-	CCDS5463.1
LRG_469	GTF2H5	NG_011758.1	t1	NM_207118.2	-	CCDS5256.1
LRG_470	POLH	NG_009252.1	t1	NM_006502.2	-	CCDS4902.1
LRG_471	XPA	NG_011642.1	t1	NM_000380.3	-	CCDS6729.1
LRG_472	XPC	NG_011763.1	t1	NM_004628.4	-	CCDS46763.1
LRG_473	COL6A3	NG_008676.1	t1	NM_004369.3	-	CCDS33412.1
LRG_474	DDB1	NG_032697.2	t1	NM_001923.4	-	CCDS31576.1
LRG_475	COL6A1	NG_008674.1	t1	NM_001848.2	-	CCDS13727.1
LRG_476	COL6A2	NG_008675.1	t1	NM_001849.3	-	CCDS13728.1
LRG_477	GP9	NG_008715.1	t1	NM_000174.4	-	CCDS3055.1
LRG_478	GP1BB	NG_007974.1	t1	NM_000407.4	-	CCDS42980.1
LRG_479	ITGA2B	NG_008331.1	t1	NM_000419.3	-	CCDS32665.1
LRG_480	GP1BA	NG_008767.2	t1	NM_000173.5	ENST00000329125.5	CCDS54068.1
LRG_481	ITGB3	NG_008332.2	t1	NM_000212.2	-	CCDS11511.1
LRG_482	RUNX1	NG_011402.2	t1	NM_001754.4	ENST00000437180.5	CCDS13639.1
LRG_483	HNF4A	NG_009818.1	t1	NM_175914.4	-	CCDS42876.1
LRG_483	HNF4A	NG_009818.1	t2	NM_000457.4	-	CCDS13330.1
LRG_483	HNF4A	NG_009818.1	t3	NM_001287183.1	-	CCDS74728.1
LRG_484	GLE1	NG_012073.1	t1	NM_001003722.1	-	CCDS35154.1
LRG_484	GLE1	NG_012073.1	t2	NM_001499.2	-	CCDS6904.1
LRG_485	CSTB	NG_011545.1	t1	NM_000100.3	-	CCDS13701.1
LRG_486	TSC1	NG_012386.1	t1	NM_000368.4	-	CCDS6956.1
LRG_487	TSC2	NG_005895.1	t1	NM_000548.3	-	CCDS10458.1
LRG_488	ALK	NG_009445.1	t1	NM_004304.3	ENST00000389048.7	CCDS33172.1
LRG_489	BUB1B	NG_016338.1	t1	NM_001211.5	-	CCDS10053.1
LRG_490	CDK4	NG_007484.2	t1	NM_000075.2	-	CCDS8953.1
LRG_491	CYLD	NG_012061.1	t1	NM_015247.2	-	CCDS45482.1
LRG_492	DICER1	NG_016311.1	t1	NM_177438.2	ENST00000343455.7	CCDS9931.1
LRG_493	EXT1	NG_007455.2	t1	NM_000127.2	-	CCDS6324.1
LRG_494	EXT2	NG_007560.1	t1	NM_000401.3	-	CCDS53618.1
LRG_494	EXT2	NG_007560.1	t2	NM_207122.1	-	CCDS7908.1
LRG_495	FANCA	NG_011706.1	t1	NM_000135.2	-	CCDS32515.1
LRG_496	FANCB	NG_007310.1	t1	NM_001018113.1	ENST00000398334.5	CCDS14161.1
LRG_497	FANCC	NG_011707.1	t1	NM_000136.2	-	CCDS35071.1
LRG_498	FANCE	NG_011708.1	t1	NM_021922.2	-	CCDS4805.1
LRG_499	FANCG	NG_007312.1	t1	NM_004629.1	ENST00000378643.7	CCDS6574.1
LRG_500	FANCI	NG_011736.1	t1	NM_001113378.1	-	CCDS45346.1
LRG_501	FANCL	NG_007418.1	t1	NM_001114636.1	-	CCDS46294.1
LRG_501	FANCL	NG_007418.1	t2	NM_018062.3	-	CCDS1860.1
LRG_502	FANCM	NG_007417.1	t1	NM_020937.2	-	CCDS32070.1
LRG_503	SLX4	NG_028123.1	t1	NM_032444.2	-	CCDS10506.2
LRG_504	FH	NG_012338.1	t1	NM_000143.3	-	CCDS1617.1
LRG_505	GPC3	NG_009286.1	t1	NM_004484.3	-	CCDS14638.1
LRG_506	HRAS	NG_007666.1	t1	NM_005343.2	-	CCDS7698.1
LRG_507	CDC73	NG_012691.1	t1	NM_024529.4	-	CCDS1382.1
LRG_508	LMO1	NG_032827.2	t1	NM_002315.1	-	CCDS44534.1
LRG_509	MEN1	NG_008929.1	t1	NM_000244.3	-	CCDS8083.1
LRG_509	MEN1	NG_008929.1	t2	NM_130799.2	-	CCDS31600.1
LRG_510	MPL	NG_007525.1	t1	NM_005373.2	-	CCDS483.1
LRG_511	NF2	NG_009057.1	t1	NM_000268.3	-	CCDS13861.1
LRG_511	NF2	NG_009057.1	t2	NM_016418.5	-	CCDS13862.1
LRG_512	NSD1	NG_009821.1	t1	NM_022455.4	-	CCDS4412.1
LRG_513	PHOX2B	NG_008243.1	t1	NM_003924.3	ENST00000226382.3	CCDS3463.1
LRG_514	PRKAR1A	NG_007093.3	t1	NM_002734.4	-	CCDS11678.1
LRG_514	PRKAR1A	NG_007093.3	t2	NM_212472.2	-	CCDS11678.1
LRG_515	PTCH1	NG_007664.1	t1	NM_000264.3	-	CCDS6714.1
LRG_515	PTCH1	NG_007664.1	t2	NM_001083602.1	-	CCDS47996.1
LRG_516	RAD51D	NG_031858.1	t1	NM_002878.3	-	CCDS11287.1
LRG_517	RB1	NG_009009.1	t1	NM_000321.2	-	CCDS31973.1
LRG_518	RET	NG_007489.1	t1	NM_020975.4	-	CCDS7200.1
LRG_518	RET	NG_007489.1	t2	NM_020630.4	-	CCDS53525.1
LRG_519	SDHAF2	NG_023393.1	t1	NM_017841.2	-	CCDS8007.1
LRG_520	SMARCB1	NG_009303.1	t1	NM_003073.3	-	CCDS13817.1
LRG_521	SUFU	NG_021338.1	t1	NM_016169.3	-	CCDS7537.1
LRG_522	HNF1A	NG_011731.2	t1	NM_000545.5	-	CCDS9209.1
LRG_523	TSHR	NG_009206.1	t1	NM_000369.2	ENST00000298171.6	CCDS9872.1
LRG_524	WRN	NG_008870.1	t1	NM_000553.4	-	CCDS6082.1
LRG_525	WT1	NG_009272.1	t1	NM_024426.3	-	CCDS7878.2
LRG_525	WT1	NG_009272.1	t2	NM_001198551.1	-	CCDS55751.1
LRG_526	CEP57	NG_029829.1	t1	NM_014679.3	-	CCDS8304.1
LRG_527	FANCF	NG_007425.1	t1	NM_022725.3	-	CCDS7857.1
LRG_528	TMEM127	NG_027695.1	t1	NM_017849.3	-	CCDS2018.1
LRG_529	BAP1	NG_031859.1	t1	NM_004656.2	-	CCDS2853.1
LRG_530	MAX	NG_029830.1	t1	NM_002382.3	-	CCDS9771.1
LRG_531	EZH2	NG_032043.1	t1	NM_004456.4	-	CCDS5891.1
LRG_532	RHBDF2	NG_032852.1	t1	NM_024599.5	-	CCDS32743.1
LRG_533	CDKN1C	NG_008022.1	t1	NM_000076.2	-	CCDS7738.1
LRG_534	DIS3L2	NG_032572.1	t1	NM_152383.4	-	CCDS42834.1
LRG_535	STK4	NG_032172.1	t1	NM_006282.2	-	CCDS13341.1
LRG_536	FSHR	NG_008146.1	t1	NM_000145.3	-	CCDS1843.1
LRG_537	AMT	NG_015986.1	t1	NM_000481.3	-	CCDS2797.1
LRG_538	KERA	NG_021223.1	t1	NM_007035.3	-	CCDS9037.1
LRG_539	BCS1L	NG_008018.1	t1	NM_004328.4	-	CCDS2419.1
LRG_539	BCS1L	NG_008018.1	t2	NM_001257344.1	-	CCDS2419.1
LRG_540	CUBN	NG_008967.1	t1	NM_001081.3	-	CCDS7113.1
LRG_541	GCSH	NG_016427.1	t1	NM_004483.4	-	CCDS10933.1
LRG_543	ACVRL1	NG_009549.1	t1	NM_000020.2	-	CCDS31804.1
LRG_544	ADAMTS13	NG_011934.2	t1	NM_139025.4	-	CCDS6970.1
LRG_546	BLOC1S3	NG_008372.1	t1	NM_212550.4	ENST00000433642.2	CCDS12656.1
LRG_548	F10	NG_009258.1	t1	NM_000504.3	-	CCDS9530.1
LRG_549	F13A1	NG_008107.1	t1	NM_000129.3	-	CCDS4496.1
LRG_550	F13B	NG_012065.1	t1	NM_001994.2	ENST00000367412.1	CCDS1388.1
LRG_551	F2	NG_008953.1	t1	NM_000506.4	-	CCDS31476.1
LRG_553	F5	NG_011806.1	t1	NM_000130.4	-	CCDS1281.1
LRG_554	F7	NG_009262.1	t1	NM_000131.4	-	CCDS9528.1
LRG_554	F7	NG_009262.1	t2	NM_019616.3	-	CCDS9529.1
LRG_555	F8	NG_011403.1	t1	NM_000132.3	-	CCDS35457.1
LRG_556	F9	NG_007994.1	t1	NM_000133.3	-	CCDS14666.1
LRG_557	FGA	NG_008832.1	t1	NM_000508.3	-	CCDS3787.1
LRG_557	FGA	NG_008832.1	t2	NM_021871.2	-	CCDS47152.1
LRG_558	FGB	NG_008833.1	t1	NM_005141.4	-	CCDS3786.1
LRG_559	GATA1	NG_008846.2	t1	NM_002049.3	-	CCDS14305.1
LRG_560	GP6	NG_031963.2	t1	NM_016363.5	ENST00000417454.5	CCDS46184.1
LRG_560	GP6	NG_031963.2	t2	NM_001256017.2	ENST00000333884.2	CCDS58678.1
LRG_560	GP6	NG_031963.2	t3	NM_001083899.2	ENST00000310373.7	CCDS42626.1
LRG_561	HOXA11	NG_012079.1	t1	NM_005523.5	-	CCDS5411.1
LRG_562	HPS1	NG_009646.1	t1	NM_000195.4	-	CCDS7475.1
LRG_563	HPS3	NG_009847.1	t1	NM_032383.4	-	CCDS3140.1
LRG_564	HPS6	NG_012029.1	t1	NM_024747.5	-	CCDS7527.1
LRG_566	MCFD2	NG_016428.2	t1	NM_001171506.2	-	CCDS33192.1
